
================================================================================
Processing ADAUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\ADAUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       0.5735
    2       0.4610
    3       0.4898
    4       0.3743
    5       0.3512
    6       0.3107
    7       0.3468
    8       0.3697
    9       0.0000
   10       0.2800
   11       0.4810
   12       0.4351
   13       0.2749
   14       0.3517
   15       0.0000
   16       0.3382
   17       0.3562
   18       0.1897
   19       0.0000
   20       0.3645
   21       0.4461
   22       0.3050
   23       0.5195
   24       0.2849
   25       0.3657
   26       0.0000
   27       0.0000
   28       0.3759
   29       0.0000
   30       0.0000
   31       0.0000
   32       0.0000
   33       0.1900
   34       0.0000
   35       0.0000
   36       0.2199
   37       0.0000
   38       0.1446
   39       0.0207
   40       0.1332
   41       0.2855
   42       0.0000
   43       0.0000
   44       0.0000
   45       0.0000
   46       0.0000
   47       0.0000
   48       0.4358
   49       0.0000
   50       0.0000
   51       0.3422
   52       0.4065
   53       0.0000
   54       0.2480
   55       0.0000
   56       0.0000
   57       0.0000
   58       0.0000
   59       0.0000
   60       0.0000
   61       0.0000
   62       0.0000
   63       0.0000
   64       0.1398
   65       0.0000
   66       0.0000
   67       0.0000
   68       0.0000
   69       0.3084
   70       0.0000
   71       0.4171
   72       0.5046
   73       0.0000
   74       0.0000
   75       0.4851
   76       0.0000
   77       0.3876
   78       0.2958
   79       0.0000
   80       0.0000
   81       0.0000
   82       0.1601
   83       0.0000
   84       0.2226
   85       0.0000
   86       0.3186
   87       0.0000
   88       0.0000
   89       0.0000
   90       0.0000
   91       0.3508
   92       0.1466
   93       0.0000
   94       0.3387
   95       0.4768
   96       0.3147
   97       0.4393
   98       0.0000
   99       0.0000
  100       0.0649

>>> First local minimum: tau = 2  (I = 0.4610 bits)
Saved plot: C:\DCh\data\results\mutual\ADAUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
