
================================================================================
Processing BTCUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\BTCUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       0.7272
    2       0.6017
    3       0.5788
    4       0.5687
    5       0.5030
    6       0.6051
    7       0.4396
    8       0.5990
    9       0.4411
   10       0.6325
   11       0.6407
   12       0.4943
   13       0.5628
   14       0.3949
   15       0.4604
   16       0.5297
   17       0.4008
   18       0.3961
   19       0.4407
   20       0.3358
   21       0.5400
   22       0.4755
   23       0.4897
   24       0.4263
   25       0.5024
   26       0.5557
   27       0.4666
   28       0.3196
   29       0.3200
   30       0.3144
   31       0.4016
   32       0.4132
   33       0.3132
   34       0.0000
   35       0.0000
   36       0.3733
   37       0.3543
   38       0.2423
   39       0.2058
   40       0.0000
   41       0.2771
   42       0.0000
   43       0.2331
   44       0.3402
   45       0.2782
   46       0.3464
   47       0.0000
   48       0.5245
   49       0.3329
   50       0.0000
   51       0.3607
   52       0.0000
   53       0.0000
   54       0.3343
   55       0.3501
   56       0.0000
   57       0.0000
   58       0.0000
   59       0.0000
   60       0.0000
   61       0.1852
   62       0.0000
   63       0.4546
   64       0.3683
   65       0.3202
   66       0.0000
   67       0.3284
   68       0.1530
   69       0.0000
   70       0.3502
   71       0.5087
   72       0.3925
   73       0.5746
   74       0.2755
   75       0.0000
   76       0.5325
   77       0.4185
   78       0.0000
   79       0.0000
   80       0.0000
   81       0.0000
   82       0.0000
   83       0.0000
   84       0.0000
   85       0.0000
   86       0.0000
   87       0.0000
   88       0.1628
   89       0.0000
   90       0.0000
   91       0.2440
   92       0.0000
   93       0.0000
   94       0.0000
   95       0.4831
   96       0.5049
   97       0.4860
   98       0.0000
   99       0.0000
  100       0.0000

>>> First local minimum: tau = 5  (I = 0.5030 bits)
Saved plot: C:\DCh\data\results\mutual\BTCUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
