
================================================================================
Processing DOGEUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\DOGEUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       0.7695
    2       0.5737
    3       0.5616
    4       0.4154
    5       0.4040
    6       0.2267
    7       0.5668
    8       0.5348
    9       0.1501
   10       0.4791
   11       0.4773
   12       0.5056
   13       0.3830
   14       0.4596
   15       0.0000
   16       0.4395
   17       0.3415
   18       0.5611
   19       0.5220
   20       0.4333
   21       0.5029
   22       0.3437
   23       0.4745
   24       0.3701
   25       0.4797
   26       0.4610
   27       0.0000
   28       0.1878
   29       0.2461
   30       0.4871
   31       0.0000
   32       0.0000
   33       0.0000
   34       0.0000
   35       0.0000
   36       0.1205
   37       0.0000
   38       0.0000
   39       0.0000
   40       0.0000
   41       0.1607
   42       0.0000
   43       0.4080
   44       0.0000
   45       0.0000
   46       0.4229
   47       0.3833
   48       0.3666
   49       0.3650
   50       0.5136
   51       0.0000
   52       0.0000
   53       0.0000
   54       0.0000
   55       0.3120
   56       0.0000
   57       0.2466
   58       0.0000
   59       0.2182
   60       0.0000
   61       0.0000
   62       0.0000
   63       0.3555
   64       0.0000
   65       0.0000
   66       0.0000
   67       0.0000
   68       0.0000
   69       0.1868
   70       0.0000
   71       0.4188
   72       0.4665
   73       0.2953
   74       0.2520
   75       0.3026
   76       0.2127
   77       0.0000
   78       0.2132
   79       0.0000
   80       0.0000
   81       0.0000
   82       0.0000
   83       0.0000
   84       0.0000
   85       0.0000
   86       0.0000
   87       0.0000
   88       0.0000
   89       0.0000
   90       0.1009
   91       0.4141
   92       0.2840
   93       0.0000
   94       0.3189
   95       0.0000
   96       0.5755
   97       0.5358
   98       0.0000
   99       0.0000
  100       0.0000

>>> First local minimum: tau = 6  (I = 0.2267 bits)
Saved plot: C:\DCh\data\results\mutual\DOGEUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
