
================================================================================
Processing ETHUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\ETHUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       0.6052
    2       0.5511
    3       0.4427
    4       0.4632
    5       0.4228
    6       0.4516
    7       0.5418
    8       0.4282
    9       0.3929
   10       0.3086
   11       0.2816
   12       0.3244
   13       0.2876
   14       0.4964
   15       0.3514
   16       0.0000
   17       0.4566
   18       0.5569
   19       0.3405
   20       0.5312
   21       0.4637
   22       0.5779
   23       0.4505
   24       0.4737
   25       0.4841
   26       0.6150
   27       0.4164
   28       0.2273
   29       0.3847
   30       0.0000
   31       0.0000
   32       0.3205
   33       0.0000
   34       0.0000
   35       0.0000
   36       0.0000
   37       0.0000
   38       0.0000
   39       0.0000
   40       0.0000
   41       0.0000
   42       0.0000
   43       0.2313
   44       0.0000
   45       0.0000
   46       0.5626
   47       0.0000
   48       0.0000
   49       0.3611
   50       0.0000
   51       0.4619
   52       0.0000
   53       0.0000
   54       0.1148
   55       0.0000
   56       0.0000
   57       0.0000
   58       0.0000
   59       0.0000
   60       0.0000
   61       0.0000
   62       0.0000
   63       0.0000
   64       0.3077
   65       0.0000
   66       0.0000
   67       0.0000
   68       0.0000
   69       0.0000
   70       0.0000
   71       0.2961
   72       0.4229
   73       0.3447
   74       0.4514
   75       0.0000
   76       0.0000
   77       0.0000
   78       0.0000
   79       0.0000
   80       0.0000
   81       0.0984
   82       0.0000
   83       0.0000
   84       0.0000
   85       0.0000
   86       0.0000
   87       0.0000
   88       0.0000
   89       0.0000
   90       0.1795
   91       0.0476
   92       0.0000
   93       0.0000
   94       0.2659
   95       0.0000
   96       0.4699
   97       0.4819
   98       0.0000
   99       0.0000
  100       0.0000

>>> First local minimum: tau = 3  (I = 0.4427 bits)
Saved plot: C:\DCh\data\results\mutual\ETHUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
