
================================================================================
Processing LINKUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\LINKUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       1.4820
    2       1.2157
    3       1.0760
    4       0.3647
    5       0.9477
    6       0.8546
    7       0.7384
    8       0.5898
    9       0.6195
   10       0.6981
   11       0.5603
   12       0.8322
   13       0.7010
   14       0.5289
   15       0.3040
   16       0.5475
   17       0.5152
   18       0.6170
   19       0.6090
   20       0.5401
   21       0.6849
   22       0.5764
   23       0.7603
   24       0.7417
   25       0.7612
   26       0.5055
   27       0.5639
   28       0.3126
   29       0.3382
   30       0.3425
   31       0.0000
   32       0.5983
   33       0.4287
   34       0.3271
   35       0.0000
   36       0.5664
   37       0.0000
   38       0.3601
   39       0.3362
   40       0.5973
   41       0.0000
   42       0.5542
   43       0.5227
   44       0.0000
   45       0.1760
   46       0.0000
   47       0.5667
   48       0.4825
   49       0.0000
   50       0.0000
   51       0.7755
   52       0.4577
   53       0.0000
   54       0.2489
   55       0.4914
   56       0.2489
   57       0.4165
   58       0.0000
   59       0.0000
   60       0.5217
   61       0.3054
   62       0.4455
   63       0.0000
   64       0.3074
   65       0.1829
   66       0.6097
   67       0.6555
   68       0.4070
   69       0.4915
   70       0.5473
   71       0.5813
   72       0.4456
   73       0.5429
   74       0.0000
   75       0.5830
   76       0.0000
   77       0.5341
   78       0.6727
   79       0.6285
   80       0.0000
   81       0.4488
   82       0.0000
   83       0.4127
   84       0.4035
   85       0.0000
   86       0.5050
   87       0.0000
   88       0.4898
   89       0.0000
   90       0.2228
   91       0.3987
   92       0.0000
   93       0.4120
   94       0.2515
   95       0.5370
   96       0.5382
   97       0.2711
   98       0.4917
   99       0.4055
  100       0.0000

>>> First local minimum: tau = 4  (I = 0.3647 bits)
Saved plot: C:\DCh\data\results\mutual\LINKUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
