
================================================================================
Processing LTCUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\LTCUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       0.6900
    2       0.6261
    3       0.4594
    4       0.5382
    5       0.5015
    6       0.5240
    7       0.6654
    8       0.4473
    9       0.4858
   10       0.4625
   11       0.3627
   12       0.3728
   13       0.5207
   14       0.4370
   15       0.4632
   16       0.3917
   17       0.4003
   18       0.5575
   19       0.4308
   20       0.5178
   21       0.4155
   22       0.3204
   23       0.5346
   24       0.6281
   25       0.4874
   26       0.4390
   27       0.4506
   28       0.4304
   29       0.3948
   30       0.3782
   31       0.5600
   32       0.4489
   33       0.3510
   34       0.0000
   35       0.4350
   36       0.4945
   37       0.2814
   38       0.5205
   39       0.5423
   40       0.3428
   41       0.3588
   42       0.0000
   43       0.4679
   44       0.5535
   45       0.4819
   46       0.6395
   47       0.0000
   48       0.4618
   49       0.4006
   50       0.5487
   51       0.2748
   52       0.4852
   53       0.3581
   54       0.0000
   55       0.2110
   56       0.2020
   57       0.3227
   58       0.0000
   59       0.3023
   60       0.2611
   61       0.2983
   62       0.3548
   63       0.0000
   64       0.3140
   65       0.1822
   66       0.0000
   67       0.0000
   68       0.4220
   69       0.4081
   70       0.4519
   71       0.5449
   72       0.5819
   73       0.3749
   74       0.3840
   75       0.4834
   76       0.3592
   77       0.4573
   78       0.2737
   79       0.2177
   80       0.3522
   81       0.4783
   82       0.3126
   83       0.4536
   84       0.3709
   85       0.0000
   86       0.2664
   87       0.3712
   88       0.3163
   89       0.0000
   90       0.4616
   91       0.4397
   92       0.3675
   93       0.3020
   94       0.7873
   95       0.3034
   96       0.6308
   97       0.4482
   98       0.3684
   99       0.3482
  100       0.4654

>>> First local minimum: tau = 3  (I = 0.4594 bits)
Saved plot: C:\DCh\data\results\mutual\LTCUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
