
================================================================================
Processing XRPUSD_BITSTAMP_1h_complete_logreturns_cut: C:\DCh\data\XRPUSD_BITSTAMP_1h_complete_logreturns_cut.dat
================================================================================
Series length N = 8760
Method: Fraser & Swinney (1986) - adaptive partition
Tau range: 1..100

Computing MI for individual tau values:
  tau     I [bits]
--------------------
    1       0.6674
    2       0.4399
    3       0.3710
    4       0.5511
    5       0.5550
    6       0.4735
    7       0.6257
    8       0.4113
    9       0.4511
   10       0.4862
   11       0.4941
   12       0.3856
   13       0.3730
   14       0.5213
   15       0.4503
   16       0.3690
   17       0.3535
   18       0.4878
   19       0.4581
   20       0.3851
   21       0.4212
   22       0.5381
   23       0.5874
   24       0.4673
   25       0.5700
   26       0.2947
   27       0.3455
   28       0.3957
   29       0.3632
   30       0.3974
   31       0.0000
   32       0.5124
   33       0.0000
   34       0.0000
   35       0.3377
   36       0.0000
   37       0.0000
   38       0.0000
   39       0.1344
   40       0.0000
   41       0.3031
   42       0.0000
   43       0.0000
   44       0.4116
   45       0.3581
   46       0.4259
   47       0.4562
   48       0.0000
   49       0.0000
   50       0.4159
   51       0.3623
   52       0.1246
   53       0.0000
   54       0.3459
   55       0.3009
   56       0.0000
   57       0.0000
   58       0.0000
   59       0.0000
   60       0.0000
   61       0.3081
   62       0.0000
   63       0.3409
   64       0.0000
   65       0.2555
   66       0.0000
   67       0.0000
   68       0.2783
   69       0.0000
   70       0.4085
   71       0.0000
   72       0.5144
   73       0.4115
   74       0.4238
   75       0.2989
   76       0.4779
   77       0.4525
   78       0.3593
   79       0.3753
   80       0.0000
   81       0.2383
   82       0.0000
   83       0.2505
   84       0.0000
   85       0.3211
   86       0.0000
   87       0.2719
   88       0.0000
   89       0.0000
   90       0.0000
   91       0.4323
   92       0.3081
   93       0.2298
   94       0.4362
   95       0.2341
   96       0.3801
   97       0.2379
   98       0.0000
   99       0.4242
  100       0.0000

>>> First local minimum: tau = 3  (I = 0.3710 bits)
Saved plot: C:\DCh\data\results\mutual\XRPUSD_BITSTAMP_1h_complete_logreturns_cut_mi_plot.png
